Date,AAPL,AMD,AMZN,ASML,GOOG,INTC,MRVL,MSFT,NFLX,NVDA,QCOM,TSEM,TSM
2023-07-24,192.75,110.61000061035156,128.8000030517578,684.47998046875,121.87999725341797,33.630001068115234,63.11000061035156,345.1099853515625,428.3699951171875,44.61199951171875,124.0999984741211,35.0,98.25
2023-07-25,193.6199951171875,113.0,129.1300048828125,687.2999877929688,122.79000091552734,34.099998474121094,63.900001525878906,350.9800109863281,427.70001220703125,45.67900085449219,125.06999969482422,34.779998779296875,100.31999969482422
2023-07-26,194.5,110.08999633789062,128.14999389648438,684.2999877929688,129.66000366210938,34.36000061035156,63.709999084472656,337.7699890136719,422.6700134277344,45.45199966430664,124.0199966430664,36.7400016784668,99.41000366210938
2023-07-27,193.22000122070312,111.0999984741211,128.25,708.1199951171875,129.8699951171875,34.54999923706055,63.88999938964844,330.7200012207031,413.1700134277344,45.900001525878906,125.8499984741211,36.11000061035156,99.3499984741211
2023-07-28,195.8300018310547,112.95999908447266,132.2100067138672,718.3699951171875,133.00999450683594,36.83000183105469,64.91000366210938,338.3699951171875,425.7799987792969,46.75,129.47999572753906,37.209999084472656,100.86000061035156
2023-07-31,196.4499969482422,114.4000015258789,133.67999267578125,716.4099731445312,133.11000061035156,35.77000045776367,65.12999725341797,335.9200134277344,438.9700012207031,46.729000091552734,132.1699981689453,37.75,99.1500015258789
2023-08-01,195.61000061035156,117.5999984741211,131.69000244140625,708.7100219726562,131.88999938964844,35.79999923706055,65.93000030517578,336.3399963378906,438.6199951171875,46.50699996948242,132.0800018310547,37.93000030517578,98.4000015258789
2023-08-02,192.5800018310547,109.3499984741211,128.2100067138672,683.0599975585938,128.63999938964844,34.38999938964844,62.11000061035156,327.5,429.70001220703125,44.26900100708008,129.27000427246094,37.2599983215332,95.69999694824219
2023-08-03,191.1699981689453,113.1500015258789,128.91000366210938,681.010009765625,128.77000427246094,34.869998931884766,62.349998474121094,326.6600036621094,431.0,44.51499938964844,118.69999694824219,37.380001068115234,94.9800033569336
2023-08-04,181.99000549316406,115.81999969482422,139.57000732421875,678.0399780273438,128.5399932861328,35.13999938964844,62.689998626708984,327.7799987792969,431.6000061035156,44.68000030517578,121.5,36.720001220703125,96.16000366210938
2023-08-07,178.85000610351562,116.80999755859375,142.22000122070312,693.4199829101562,131.94000244140625,35.22999954223633,63.54999923706055,330.1099853515625,440.760009765625,45.41699981689453,119.33999633789062,36.83000183105469,96.3499984741211
2023-08-08,179.8000030517578,113.2300033569336,139.94000244140625,679.3699951171875,131.83999633789062,35.02000045776367,61.959999084472656,326.04998779296875,438.29998779296875,44.66400146484375,117.66000366210938,36.11000061035156,94.48999786376953
2023-08-09,178.19000244140625,110.47000122070312,137.85000610351562,672.489990234375,130.14999389648438,34.279998779296875,59.939998626708984,322.2300109863281,428.8999938964844,42.55400085449219,116.56999969482422,35.0,93.9800033569336
2023-08-10,177.97000122070312,110.2300033569336,138.55999755859375,677.8099975585938,130.2100067138672,34.68000030517578,58.93000030517578,322.92999267578125,429.9800109863281,42.38800048828125,115.61000061035156,34.7599983215332,94.80000305175781
2023-08-11,177.7899932861328,107.56999969482422,138.41000366210938,661.780029296875,130.1699981689453,34.88999938964844,57.09000015258789,321.010009765625,421.6600036621094,40.85499954223633,114.61000061035156,34.349998474121094,91.98999786376953
2023-08-14,179.4600067138672,111.9800033569336,140.57000732421875,666.5499877929688,131.8300018310547,35.68000030517578,59.56999969482422,324.0400085449219,427.7799987792969,43.75299835205078,114.0199966430664,33.939998626708984,93.06999969482422
2023-08-15,177.4499969482422,111.3499984741211,137.6699981689453,651.7000122070312,130.27000427246094,34.77000045776367,59.119998931884766,321.8599853515625,423.70001220703125,43.939998626708984,111.68000030517578,33.779998779296875,91.68000030517578
2023-08-16,176.57000732421875,107.19000244140625,135.07000732421875,646.4400024414062,129.11000061035156,33.529998779296875,57.369998931884766,320.3999938964844,415.45001220703125,43.486000061035156,110.1500015258789,30.170000076293945,91.77999877929688
2023-08-17,174.0,104.44000244140625,133.97999572753906,644.3400268554688,130.4600067138672,32.58000183105469,57.560001373291016,316.8800048828125,403.0,43.34400177001953,110.08000183105469,30.479999542236328,91.63999938964844
